Business Legal Name,Assumed Name(s),Street,City,Borough,Postcode,License Type,License Status,License Issue Date,License Expiration Date,Latitude,Longitude,Council District,Community Board,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location
CALABRIA RESTAURANT LLC,IL BRIGANTE,214 FRONT STREET,NEW YORK,Manhattan,10038,Roadway,Issued,02/27/2026 01:30:42 PM,02/27/2030 11:59:59 PM,40.707326222106,-74.002532013525,1,101,1086562,1000977504,1501,MN0101,POINT (-74.002532013525 40.707326222106)
GT OPERATING COMPANY LLC.,GRAMERCY TAVERN,42 EAST   20 STREET,NEW YORK,Manhattan,10003,Roadway,Issued,01/02/2026 02:55:21 PM,01/02/2030 11:59:59 PM,40.738843883247,-73.989026339753,2,105,1016177,1008487503,52,MN0501,POINT (-73.989026339753 40.738843883247)
SENANROSSA LLC,JOHN DOE BAR & KITCHEN,253 5 AVENUE,NEW YORK,Manhattan,10016,Roadway,Issued,06/06/2025 10:05:20 AM,06/06/2029 11:59:59 PM,40.744835507503,-73.987166767892,2,105,1080770,1008580001,74,MN0501,POINT (-73.987166767892 40.744835507503)
MOTORINO 3 INC,MOTORINO,510 COLUMBUS AVENUE,NEW YORK,Manhattan,10024,Roadway,Issued,01/02/2026 03:00:10 PM,01/02/2030 11:59:59 PM,40.78551032674,-73.972895018486,6,107,1032130,1012150033,169,MN0702,POINT (-73.972895018486 40.78551032674)
TK FOOD CONCEPTS LLC,SALT + CHARCOAL,171 GRAND STREET,BROOKLYN,Brooklyn,11249,Sidewalk,Issued,01/31/2025 02:41:56 PM,01/31/2029 11:59:59 PM,40.714593427657,-73.961503409183,34,301,3062619,3023800025,553,BK0102,POINT (-73.961503409183 40.714593427657)
RISE BAR NYC LLC,RISE BAR,859 9 AVENUE,NEW YORK,Manhattan,10019,Roadway,Issued,06/13/2025 09:17:38 AM,06/13/2029 11:59:59 PM,40.767100897914,-73.986314085955,6,104,1026849,1010650036,139,MN0402,POINT (-73.986314085955 40.767100897914)
"PANEANTICO BAKERY CAFE, INC",PANEANTICO BAKERY,9124 3 AVENUE,BROOKLYN,Brooklyn,11209,Roadway,Issued,01/09/2026 01:50:28 PM,01/09/2030 11:59:59 PM,40.619518889081,-74.032678195577,47,310,3154705,3060850047,58,BK1001,POINT (-74.032678195577 40.619518889081)
JO-RACH INCORPORATED,CAFFE PALERMO,148 MULBERRY STREET,NEW YORK,Manhattan,10013,Roadway,Issued,01/02/2026 02:52:53 PM,01/02/2030 11:59:59 PM,40.718928360738,-73.997474758979,1,102,1077451,1002370012,41,MN0201,POINT (-73.997474758979 40.718928360738)
BRANDED CATTLE SALOON INC,BRANDED SALOON,603 VANDERBILT AVENUE,BROOKLYN,Brooklyn,11238,Sidewalk,Issued,02/27/2026 01:23:42 PM,02/27/2030 11:59:59 PM,40.679278511872,-73.968262243572,35,308,3028200,3011450013,205,BK0801,POINT (-73.968262243572 40.679278511872)
LENA TRATTORIA LLC,LENA TRATTORIA,3470 EAST TREMONT AVENUE,BRONX,Bronx,10465,Roadway,Issued,02/27/2026 01:41:15 PM,02/27/2030 11:59:59 PM,40.831772520802,-73.827203370496,13,210,2079387,2055310028,166,BX1002,POINT (-73.827203370496 40.831772520802)
FABRIZIO CAVALLACCI,CAFFE REGGIO,119 MAC DOUGAL STREET,NEW YORK,Manhattan,10012,Roadway,Issued,10/17/2025 03:48:38 PM,10/17/2029 11:59:59 PM,40.730201144472,-74.000321120881,2,102,1008746,1005430021,65,MN0202,POINT (-74.000321120881 40.730201144472)
MISTER BLUE LLC.,THE EXLEY,1 JACKSON STREET,BROOKLYN,Brooklyn,11211,Roadway,Issued,04/04/2025 04:21:29 PM,04/04/2029 11:59:59 PM,40.715975873772,-73.951813326771,33,301,3379885,3027410048,515,BK0102,POINT (-73.951813326771 40.715975873772)
ERS ENTERPRISES INC.,P.J. CLARKE'S,44 WEST   63 STREET,NEW YORK,Manhattan,10023,Roadway,Issued,08/15/2025 03:58:42 PM,08/15/2029 11:59:59 PM,40.771486487081,-73.982414008303,6,107,1027465,1011150057,149,MN0701,POINT (-73.982414008303 40.771486487081)
BREAD OF UNION SQUARE LLC,BREADS BAKERY,18 EAST   16 STREET,NEW YORK,Manhattan,10003,Roadway,Issued,01/02/2026 01:39:15 PM,01/02/2030 11:59:59 PM,40.737103959456,-73.992151566806,2,105,1016076,1008430037,52,MN0501,POINT (-73.992151566806 40.737103959456)
